time	sig 0	sig 1
(sec)	(mV)	(mV)
  0.000	 -0.435	 -0.425
  0.008	 -0.435	 -0.415
  0.016	 -0.415	 -0.405
  0.023	 -0.405	 -0.405
  0.031	 -0.395	 -0.395
  0.039	 -0.385	 -0.385
  0.047	 -0.375	 -0.375
  0.055	 -0.375	 -0.385
  0.062	 -0.355	 -0.365
  0.070	 -0.355	 -0.365
  0.078	 -0.345	 -0.355
  0.086	 -0.345	 -0.345
  0.094	 -0.325	 -0.345
  0.102	 -0.325	 -0.335
  0.109	 -0.325	 -0.335
  0.117	 -0.325	 -0.325
  0.125	 -0.325	 -0.315
  0.133	 -0.325	 -0.325
  0.141	 -0.325	 -0.315
  0.148	 -0.325	 -0.305
  0.156	 -0.325	 -0.295
  0.164	 -0.325	 -0.295
  0.172	 -0.315	 -0.295
  0.180	 -0.315	 -0.285
  0.188	 -0.325	 -0.285
  0.195	 -0.325	 -0.275
  0.203	 -0.305	 -0.275
  0.211	 -0.315	 -0.265
  0.219	 -0.305	 -0.255
  0.227	 -0.305	 -0.255
  0.234	 -0.305	 -0.245
  0.242	 -0.305	 -0.245
  0.250	 -0.295	 -0.245
  0.258	 -0.295	 -0.235
  0.266	 -0.295	 -0.235
  0.273	 -0.285	 -0.225
  0.281	 -0.275	 -0.215
  0.289	 -0.275	 -0.215
  0.297	 -0.275	 -0.215
  0.305	 -0.275	 -0.205
  0.312	 -0.265	 -0.195
  0.320	 -0.255	 -0.195
  0.328	 -0.255	 -0.185
  0.336	 -0.255	 -0.175
  0.344	 -0.235	 -0.165
  0.352	 -0.235	 -0.155
  0.359	 -0.215	 -0.145
  0.367	 -0.175	  0.485
  0.375	  0.405	  0.515
  0.383	  0.415	  0.495
  0.391	  0.415	  0.485
  0.398	  0.405	  0.485
  0.406	  0.405	  0.485
  0.414	  0.395	  0.475
  0.422	  0.395	  0.465
  0.430	  0.385	  0.465
  0.438	  0.375	  0.455
  0.445	  0.375	  0.455
  0.453	  0.375	  0.445
  0.461	  0.355	  0.435
  0.469	  0.355	  0.425
  0.477	  0.345	  0.425
  0.484	  0.335	  0.415
  0.492	  0.335	  0.415
  0.500	  0.325	  0.395
  0.508	  0.315	  0.395
  0.516	  0.315	  0.385
  0.523	  0.305	  0.385
  0.531	  0.305	  0.375
  0.539	  0.295	  0.365
  0.547	  0.285	  0.365
  0.555	  0.275	  0.355
  0.562	  0.275	  0.355
  0.570	  0.275	  0.345
