time	sig 0	sig 1
(sec)	(mV)	(mV)
  0.000	 -0.185	 -0.075
  0.008	 -0.155	 -0.045
  0.016	 -0.145	 -0.055
  0.023	 -0.135	 -0.055
  0.031	 -0.105	 -0.045
  0.039	 -0.095	 -0.035
  0.047	 -0.095	 -0.035
  0.055	 -0.065	 -0.045
  0.062	 -0.055	 -0.045
  0.070	 -0.025	 -0.025
  0.078	 -0.005	 -0.035
  0.086	  0.025	 -0.035
  0.094	  0.045	 -0.025
  0.102	  0.075	  0.005
  0.109	  0.095	 -0.005
  0.117	  0.105	 -0.005
  0.125	  0.105	  0.025
  0.133	  0.115	  0.055
  0.141	  0.105	  0.075
  0.148	  0.075	  0.055
  0.156	  0.045	  0.045
  0.164	  0.005	  0.045
  0.172	 -0.045	  0.025
  0.180	 -0.075	 -0.005
  0.188	 -0.105	 -0.015
  0.195	 -0.115	 -0.015
  0.203	 -0.125	 -0.025
  0.211	 -0.125	 -0.035
  0.219	 -0.125	 -0.035
  0.227	 -0.125	 -0.015
  0.234	 -0.125	 -0.035
  0.242	 -0.135	 -0.035
  0.250	 -0.135	 -0.025
  0.258	 -0.135	 -0.025
  0.266	 -0.135	 -0.025
  0.273	 -0.125	 -0.045
  0.281	 -0.125	 -0.025
  0.289	 -0.125	 -0.035
  0.297	 -0.135	 -0.045
  0.305	 -0.135	 -0.055
  0.312	 -0.155	 -0.065
  0.320	 -0.145	 -0.055
  0.328	 -0.165	 -0.075
  0.336	 -0.165	 -0.075
  0.344	 -0.155	 -0.075
  0.352	 -0.175	 -0.085
  0.359	 -0.165	 -0.095
  0.367	 -0.145	 -0.105
  0.375	 -0.095	 -0.055
  0.383	 -0.045	  0.005
  0.391	 -0.055	 -0.035
  0.398	 -0.105	 -0.095
  0.406	 -0.105	 -0.085
  0.414	 -0.165	 -0.115
  0.422	 -0.195	 -0.125
  0.430	 -0.205	 -0.125
  0.438	 -0.225	 -0.125
  0.445	 -0.215	 -0.115
  0.453	 -0.215	 -0.125
  0.461	 -0.215	 -0.135
  0.469	 -0.205	 -0.125
  0.477	 -0.205	 -0.115
  0.484	 -0.215	 -0.115
  0.492	 -0.215	 -0.135
  0.500	 -0.215	 -0.115
  0.508	 -0.215	 -0.105
  0.516	 -0.195	 -0.105
  0.523	 -0.175	 -0.105
  0.531	 -0.265	 -0.075
  0.539	 -0.435	 -0.025
  0.547	 -0.235	  0.155
  0.555	  0.385	  0.315
  0.562	  1.325	 -0.295
  0.570	  1.495	 -0.475
  0.578	  0.355	 -0.725
  0.586	 -0.515	 -0.935
  0.594	 -0.565	 -0.555
  0.602	 -0.365	 -0.215
  0.609	 -0.225	 -0.045
  0.617	 -0.205	 -0.035
  0.625	 -0.215	 -0.055
  0.633	 -0.235	 -0.055
  0.641	 -0.225	 -0.045
  0.648	 -0.225	 -0.045
  0.656	 -0.215	 -0.055
  0.664	 -0.195	 -0.035
  0.672	 -0.195	 -0.025
  0.680	 -0.205	 -0.035
  0.688	 -0.175	 -0.025
  0.695	 -0.185	 -0.025
  0.703	 -0.175	 -0.015
  0.711	 -0.165	 -0.015
  0.719	 -0.145	 -0.015
  0.727	 -0.125	  0.005
  0.734	 -0.115	  0.005
  0.742	 -0.105	  0.005
  0.750	 -0.085	  0.005
  0.758	 -0.085	  0.025
  0.766	 -0.055	  0.025
  0.773	 -0.045	  0.025
  0.781	 -0.015	  0.025
  0.789	  0.015	  0.045
  0.797	  0.035	  0.055
  0.805	  0.045	  0.045
  0.812	  0.085	  0.045
  0.820	  0.105	  0.055
  0.828	  0.135	  0.075
  0.836	  0.145	  0.075
  0.844	  0.155	  0.095
  0.852	  0.165	  0.105
  0.859	  0.145	  0.115
  0.867	  0.105	  0.095
  0.875	  0.085	  0.075
  0.883	  0.035	  0.055
  0.891	  0.005	  0.025
  0.898	 -0.035	 -0.005
  0.906	 -0.065	 -0.015
  0.914	 -0.065	 -0.025
  0.922	 -0.085	 -0.045
  0.930	 -0.095	 -0.055
  0.938	 -0.095	 -0.055
  0.945	 -0.095	 -0.055
  0.953	 -0.105	 -0.045
  0.961	 -0.105	 -0.055
  0.969	 -0.085	 -0.055
  0.977	 -0.085	 -0.045
  0.984	 -0.095	 -0.035
  0.992	 -0.095	 -0.045
  1.000	 -0.085	 -0.045
  1.008	 -0.085	 -0.035
  1.016	 -0.085	 -0.035
  1.023	 -0.095	 -0.055
  1.031	 -0.085	 -0.055
  1.039	 -0.085	 -0.045
  1.047	 -0.095	 -0.065
  1.055	 -0.105	 -0.075
  1.062	 -0.125	 -0.085
  1.070	 -0.115	 -0.085
  1.078	 -0.125	 -0.075
  1.086	 -0.135	 -0.095
  1.094	 -0.125	 -0.095
  1.102	 -0.115	 -0.095
  1.109	 -0.135	 -0.095
  1.117	 -0.145	 -0.115
  1.125	 -0.125	 -0.125
  1.133	 -0.065	 -0.075
  1.141	  0.005	 -0.005
  1.148	  0.005	 -0.035
  1.156	 -0.035	 -0.065
  1.164	 -0.055	 -0.085
  1.172	 -0.085	 -0.095
  1.180	 -0.135	 -0.105
  1.188	 -0.145	 -0.115
  1.195	 -0.165	 -0.125
  1.203	 -0.165	 -0.115
  1.211	 -0.165	 -0.125
  1.219	 -0.175	 -0.135
  1.227	 -0.155	 -0.135
  1.234	 -0.165	 -0.135
  1.242	 -0.175	 -0.135
  1.250	 -0.155	 -0.145
  1.258	 -0.165	 -0.125
  1.266	 -0.155	 -0.125
  1.273	 -0.145	 -0.125
  1.281	 -0.155	 -0.105
  1.289	 -0.395	 -0.025
  1.297	 -0.255	  0.075
  1.305	  0.355	  0.255
  1.312	  1.455	 -0.385
  1.320	  1.535	 -0.575
  1.328	  0.085	 -0.895
  1.336	 -0.575	 -0.895
  1.344	 -0.455	 -0.395
  1.352	 -0.225	 -0.115
  1.359	 -0.125	 -0.015
  1.367	 -0.155	 -0.055
  1.375	 -0.185	 -0.055
  1.383	 -0.175	 -0.055
  1.391	 -0.175	 -0.065
  1.398	 -0.175	 -0.065
  1.406	 -0.155	 -0.045
  1.414	 -0.165	 -0.035
  1.422	 -0.155	 -0.045
  1.430	 -0.155	 -0.055
  1.438	 -0.145	 -0.045
  1.445	 -0.125	 -0.025
  1.453	 -0.125	 -0.035
  1.461	 -0.115	 -0.035
  1.469	 -0.095	 -0.015
  1.477	 -0.085	 -0.005
  1.484	 -0.065	 -0.005
  1.492	 -0.055	 -0.005
  1.500	 -0.055	  0.005
  1.508	 -0.025	  0.015
  1.516	 -0.005	  0.025
  1.523	  0.015	  0.015
  1.531	  0.045	  0.025
  1.539	  0.065	  0.045
  1.547	  0.075	  0.045
  1.555	  0.105	  0.045
  1.562	  0.135	  0.055
  1.570	  0.175	  0.065
  1.578	  0.195	  0.075
  1.586	  0.215	  0.065
  1.594	  0.235	  0.095
  1.602	  0.225	  0.115
  1.609	  0.195	  0.115
  1.617	  0.165	  0.085
  1.625	  0.115	  0.065
  1.633	  0.095	  0.055
  1.641	  0.045	  0.015
  1.648	  0.015	 -0.015
  1.656	 -0.015	 -0.055
  1.664	 -0.035	 -0.045
  1.672	 -0.045	 -0.065
  1.680	 -0.055	 -0.075
  1.688	 -0.065	 -0.075
  1.695	 -0.055	 -0.065
  1.703	 -0.055	 -0.065
  1.711	 -0.045	 -0.075
  1.719	 -0.035	 -0.065
  1.727	 -0.045	 -0.055
  1.734	 -0.045	 -0.065
  1.742	 -0.045	 -0.075
  1.750	 -0.065	 -0.065
  1.758	 -0.055	 -0.065
  1.766	 -0.045	 -0.065
  1.773	 -0.045	 -0.075
  1.781	 -0.045	 -0.085
  1.789	 -0.045	 -0.075
  1.797	 -0.045	 -0.085
  1.805	 -0.055	 -0.105
  1.812	 -0.075	 -0.115
  1.820	 -0.065	 -0.105
  1.828	 -0.085	 -0.115
  1.836	 -0.095	 -0.125
  1.844	 -0.095	 -0.125
  1.852	 -0.095	 -0.115
  1.859	 -0.095	 -0.135
  1.867	 -0.095	 -0.145
  1.875	 -0.115	 -0.135
  1.883	 -0.105	 -0.135
  1.891	 -0.105	 -0.155
  1.898	 -0.085	 -0.165
  1.906	 -0.005	 -0.105
  1.914	  0.055	 -0.045
  1.922	  0.035	 -0.065
  1.930	 -0.025	 -0.135
  1.938	 -0.075	 -0.135
  1.945	 -0.085	 -0.145
  1.953	 -0.105	 -0.145
  1.961	 -0.135	 -0.165
  1.969	 -0.145	 -0.165
  1.977	 -0.125	 -0.155
  1.984	 -0.125	 -0.155
  1.992	 -0.145	 -0.175
  2.000	 -0.145	 -0.165
  2.008	 -0.155	 -0.155
  2.016	 -0.155	 -0.165
  2.023	 -0.145	 -0.165
  2.031	 -0.145	 -0.165
  2.039	 -0.125	 -0.145
  2.047	 -0.125	 -0.135
  2.055	 -0.115	 -0.155
  2.062	 -0.245	 -0.105
  2.070	 -0.425	 -0.085
  2.078	 -0.035	  0.275
  2.086	  0.775	 -0.125
  2.094	  1.745	 -0.415
  2.102	  0.975	 -0.655
  2.109	 -0.335	 -1.035
  2.117	 -0.535	 -0.715
  2.125	 -0.355	 -0.315
  2.133	 -0.155	 -0.085
  2.141	 -0.125	 -0.035
  2.148	 -0.145	 -0.075
  2.156	 -0.165	 -0.095
  2.164	 -0.145	 -0.075
  2.172	 -0.155	 -0.075
  2.180	 -0.155	 -0.075
  2.188	 -0.135	 -0.075
  2.195	 -0.145	 -0.065
  2.203	 -0.135	 -0.055
  2.211	 -0.135	 -0.065
  2.219	 -0.125	 -0.065
  2.227	 -0.105	 -0.045
  2.234	 -0.095	 -0.045
  2.242	 -0.095	 -0.055
  2.250	 -0.085	 -0.045
  2.258	 -0.045	 -0.035
  2.266	 -0.035	 -0.015
  2.273	 -0.025	 -0.025
  2.281	  0.005	 -0.015
  2.289	  0.015	 -0.005
  2.297	  0.025	  0.005
  2.305	  0.065	 -0.005
  2.312	  0.075	  0.015
  2.320	  0.105	  0.025
  2.328	  0.135	  0.025
  2.336	  0.165	  0.035
  2.344	  0.195	  0.045
  2.352	  0.205	  0.065
