time	sig 0	sig 1
(sec)	(mV)	(mV)
  0.000	 -0.185	 -0.085
  0.008	 -0.215	 -0.105
  0.016	 -0.215	 -0.105
  0.023	 -0.245	 -0.105
  0.031	 -0.205	 -0.095
  0.039	 -0.195	 -0.095
  0.047	 -0.155	 -0.095
  0.055	 -0.165	 -0.095
  0.062	 -0.165	 -0.105
  0.070	 -0.175	 -0.095
  0.078	 -0.215	 -0.125
  0.086	 -0.185	 -0.115
  0.094	 -0.165	 -0.085
  0.102	 -0.165	 -0.085
  0.109	 -0.165	 -0.115
  0.117	 -0.145	 -0.105
  0.125	 -0.155	 -0.095
  0.133	 -0.185	 -0.105
  0.141	 -0.215	 -0.125
  0.148	 -0.175	 -0.125
  0.156	 -0.165	 -0.105
  0.164	 -0.155	 -0.115
  0.172	 -0.155	 -0.125
  0.180	 -0.155	 -0.115
  0.188	 -0.165	 -0.115
  0.195	 -0.185	 -0.115
  0.203	 -0.165	 -0.125
  0.211	 -0.175	 -0.135
  0.219	 -0.185	 -0.115
  0.227	 -0.165	 -0.115
  0.234	 -0.155	 -0.125
  0.242	 -0.165	 -0.135
  0.250	 -0.165	 -0.115
  0.258	 -0.165	 -0.115
  0.266	 -0.165	 -0.125
  0.273	 -0.155	 -0.115
  0.281	 -0.175	 -0.115
  0.289	 -0.185	 -0.115
  0.297	 -0.165	 -0.125
  0.305	 -0.175	 -0.115
  0.312	 -0.155	 -0.115
  0.320	 -0.185	 -0.115
  0.328	 -0.165	 -0.125
  0.336	 -0.165	 -0.115
  0.344	 -0.175	 -0.115
  0.352	 -0.175	 -0.115
  0.359	 -0.175	 -0.125
  0.367	 -0.175	 -0.125
  0.375	 -0.165	 -0.115
  0.383	 -0.175	 -0.115
  0.391	 -0.185	 -0.135
  0.398	 -0.165	 -0.105
  0.406	 -0.175	 -0.115
  0.414	 -0.145	 -0.105
  0.422	 -0.155	 -0.115
  0.430	 -0.145	 -0.085
  0.438	 -0.105	 -0.055
  0.445	 -0.065	 -0.005
  0.453	 -0.055	  0.005
  0.461	 -0.035	  0.025
  0.469	  0.025	  0.055
  0.477	  0.045	 -0.045
  0.484	  0.025	 -0.095
  0.492	  0.025	 -0.115
  0.500	 -0.035	 -0.125
  0.508	 -0.095	 -0.135
  0.516	 -0.125	 -0.165
  0.523	 -0.125	 -0.145
  0.531	 -0.105	 -0.145
  0.539	 -0.105	 -0.145
  0.547	 -0.105	 -0.105
  0.555	 -0.065	  0.095
  0.562	 -0.035	 -0.075
  0.570	  0.305	 -0.375
  0.578	  0.865	 -0.575
  0.586	  1.005	 -0.935
  0.594	  0.055	 -0.955
  0.602	 -0.395	 -0.355
  0.609	 -0.325	 -0.135
  0.617	 -0.105	 -0.115
  0.625	 -0.055	 -0.095
  0.633	 -0.065	 -0.115
  0.641	 -0.065	 -0.125
  0.648	 -0.075	 -0.105
  0.656	 -0.055	 -0.075
  0.664	 -0.055	 -0.075
  0.672	 -0.065	 -0.075
  0.680	 -0.045	 -0.075
  0.688	 -0.035	 -0.055
  0.695	 -0.055	 -0.055
  0.703	 -0.045	 -0.055
  0.711	 -0.045	 -0.055
  0.719	 -0.025	 -0.055
  0.727	 -0.025	 -0.025
  0.734	 -0.015	 -0.035
  0.742	 -0.025	 -0.035
  0.750	 -0.015	 -0.035
  0.758	  0.005	 -0.015
  0.766	  0.015	 -0.015
  0.773	  0.035	 -0.015
  0.781	  0.035	 -0.005
  0.789	  0.055	 -0.005
  0.797	  0.085	 -0.005
  0.805	  0.115	 -0.005
  0.812	  0.115	  0.015
  0.820	  0.145	  0.005
  0.828	  0.165	  0.015
  0.836	  0.175	  0.015
  0.844	  0.195	  0.035
  0.852	  0.225	  0.025
  0.859	  0.225	  0.015
  0.867	  0.235	  0.025
  0.875	  0.215	  0.035
  0.883	  0.185	  0.045
  0.891	  0.145	  0.005
  0.898	  0.085	  0.005
  0.906	  0.025	  0.005
  0.914	 -0.025	  0.005
  0.922	 -0.075	 -0.015
  0.930	 -0.105	 -0.035
  0.938	 -0.145	 -0.025
  0.945	 -0.145	 -0.025
  0.953	 -0.155	 -0.045
  0.961	 -0.165	 -0.035
  0.969	 -0.175	 -0.025
  0.977	 -0.175	 -0.025
  0.984	 -0.155	 -0.035
  0.992	 -0.145	 -0.025
  1.000	 -0.145	 -0.025
  1.008	 -0.165	 -0.025
  1.016	 -0.145	 -0.025
  1.023	 -0.145	 -0.025
  1.031	 -0.135	 -0.025
  1.039	 -0.135	 -0.025
  1.047	 -0.145	 -0.035
  1.055	 -0.145	 -0.035
  1.062	 -0.145	 -0.025
  1.070	 -0.155	 -0.025
  1.078	 -0.155	 -0.045
  1.086	 -0.185	 -0.035
  1.094	 -0.175	 -0.035
  1.102	 -0.165	 -0.025
  1.109	 -0.165	 -0.045
  1.117	 -0.185	 -0.035
  1.125	 -0.165	 -0.025
  1.133	 -0.185	 -0.025
  1.141	 -0.165	 -0.055
  1.148	 -0.175	 -0.045
  1.156	 -0.185	 -0.035
  1.164	 -0.185	 -0.025
  1.172	 -0.195	 -0.045
  1.180	 -0.185	 -0.045
  1.188	 -0.185	 -0.035
  1.195	 -0.175	 -0.035
  1.203	 -0.185	 -0.045
  1.211	 -0.205	 -0.045
  1.219	 -0.175	 -0.035
  1.227	 -0.185	 -0.035
  1.234	 -0.185	 -0.055
  1.242	 -0.155	 -0.035
  1.250	 -0.175	 -0.045
  1.258	 -0.185	 -0.035
  1.266	 -0.175	 -0.045
  1.273	 -0.185	 -0.045
  1.281	 -0.175	 -0.045
  1.289	 -0.185	 -0.035
  1.297	 -0.175	 -0.045
  1.305	 -0.165	 -0.055
