time	sig 0	sig 1
(sec)	(mV)	(mV)
  0.000	  0.675	  0.735
  0.008	  0.665	  0.735
  0.016	  0.655	  0.725
  0.023	  0.645	  0.715
  0.031	  0.635	  0.705
  0.039	  0.625	  0.695
  0.047	  0.605	  0.685
  0.055	  0.595	  0.665
  0.062	  0.585	  0.655
  0.070	  0.575	  0.655
  0.078	  0.565	  0.645
  0.086	  0.555	  0.635
  0.094	  0.545	  0.625
  0.102	  0.535	  0.615
  0.109	  0.515	  0.605
  0.117	  0.515	  0.585
  0.125	  0.505	  0.575
  0.133	  0.495	  0.575
  0.141	  0.475	  0.555
  0.148	  0.475	  0.555
  0.156	  0.475	  0.545
  0.164	  0.465	  0.535
  0.172	  0.445	  0.525
  0.180	  0.445	  0.515
  0.188	  0.435	  0.515
  0.195	  0.425	  0.495
  0.203	  0.415	  0.495
  0.211	  0.415	  0.485
  0.219	  0.395	  0.475
  0.227	  0.395	  0.475
  0.234	  0.385	  0.465
  0.242	  0.375	  0.445
  0.250	  0.365	  0.455
  0.258	  0.365	  0.435
  0.266	  0.355	  0.425
  0.273	  0.345	  0.425
  0.281	  0.335	  0.415
  0.289	  0.335	  0.415
  0.297	  0.315	  0.405
  0.305	  0.315	  0.385
  0.312	  0.295	  0.385
  0.320	  0.295	  0.385
  0.328	  0.275	  0.375
  0.336	  0.285	  0.365
  0.344	  0.275	  0.365
  0.352	  0.265	  0.355
  0.359	  0.255	  0.345
  0.367	  0.255	  0.335
  0.375	  0.245	  0.335
  0.383	  0.235	  0.325
  0.391	  0.225	  0.315
  0.398	  0.215	  0.315
  0.406	  0.215	  0.315
  0.414	  0.205	  0.305
  0.422	  0.195	  0.295
  0.430	  0.195	  0.285
  0.438	  0.185	  0.285
  0.445	  0.165	  0.275
  0.453	  0.155	  0.265
  0.461	  0.135	  0.245
  0.469	 -0.375	  0.165
  0.477	 -0.955	 -0.725
  0.484	 -0.885	 -0.695
  0.492	 -0.865	 -0.685
  0.500	 -0.855	 -0.665
  0.508	 -0.845	 -0.665
  0.516	 -0.845	 -0.665
  0.523	 -0.835	 -0.655
  0.531	 -0.815	 -0.645
  0.539	 -0.805	 -0.635
  0.547	 -0.805	 -0.635
  0.555	 -0.785	 -0.615
  0.562	 -0.775	 -0.605
  0.570	 -0.775	 -0.595
  0.578	 -0.765	 -0.585
  0.586	 -0.745	 -0.585
  0.594	 -0.735	 -0.565
  0.602	 -0.735	 -0.555
  0.609	 -0.725	 -0.555
  0.617	 -0.705	 -0.545
  0.625	 -0.695	 -0.535
  0.633	 -0.695	 -0.525
  0.641	 -0.685	 -0.515
  0.648	 -0.675	 -0.515
  0.656	 -0.665	 -0.505
  0.664	 -0.655	 -0.495
