time	sig 0	sig 1
(sec)	(mV)	(mV)
  0.000	 -0.275	 -0.015
  0.008	 -0.245	  0.005
  0.016	 -0.285	 -0.015
  0.023	 -0.265	 -0.015
  0.031	 -0.235	 -0.005
  0.039	 -0.215	 -0.015
  0.047	 -0.165	  0.005
  0.055	 -0.165	  0.005
  0.062	 -0.145	  0.005
  0.070	 -0.095	  0.035
  0.078	 -0.085	  0.025
  0.086	 -0.045	  0.005
  0.094	  0.025	  0.005
  0.102	  0.085	  0.025
  0.109	  0.175	  0.025
  0.117	  0.215	  0.005
  0.125	  0.255	  0.015
  0.133	  0.305	  0.025
  0.141	  0.285	  0.035
  0.148	  0.285	  0.035
  0.156	  0.245	  0.045
  0.164	  0.175	  0.045
  0.172	  0.125	  0.045
  0.180	  0.015	  0.005
  0.188	 -0.075	 -0.005
  0.195	 -0.125	 -0.025
  0.203	 -0.175	 -0.035
  0.211	 -0.205	 -0.035
  0.219	 -0.195	 -0.045
  0.227	 -0.205	 -0.025
  0.234	 -0.165	 -0.035
  0.242	 -0.185	 -0.045
  0.250	 -0.185	 -0.045
  0.258	 -0.185	 -0.015
  0.266	 -0.195	 -0.035
  0.273	 -0.195	 -0.025
  0.281	 -0.185	 -0.035
  0.289	 -0.165	 -0.025
  0.297	 -0.145	 -0.015
  0.305	 -0.135	 -0.025
  0.312	 -0.145	 -0.025
  0.320	 -0.155	 -0.025
  0.328	 -0.185	 -0.055
  0.336	 -0.185	 -0.055
  0.344	 -0.165	 -0.055
  0.352	 -0.175	 -0.065
  0.359	 -0.145	 -0.045
  0.367	 -0.165	 -0.085
  0.375	 -0.165	 -0.085
  0.383	 -0.175	 -0.065
  0.391	 -0.185	 -0.075
  0.398	 -0.195	 -0.085
  0.406	 -0.195	 -0.085
  0.414	 -0.175	 -0.065
  0.422	 -0.165	 -0.075
  0.430	 -0.165	 -0.095
  0.438	 -0.175	 -0.095
  0.445	 -0.175	 -0.095
  0.453	 -0.185	 -0.095
  0.461	 -0.205	 -0.105
  0.469	 -0.195	 -0.105
  0.477	 -0.185	 -0.105
  0.484	 -0.165	 -0.065
  0.492	 -0.135	 -0.095
  0.500	 -0.115	 -0.065
  0.508	 -0.065	 -0.035
  0.516	 -0.075	 -0.055
  0.523	 -0.075	 -0.065
  0.531	  0.035	 -0.095
  0.539	  0.005	 -0.125
  0.547	 -0.065	 -0.125
  0.555	 -0.085	 -0.145
  0.562	 -0.105	 -0.165
  0.570	 -0.155	 -0.125
  0.578	 -0.175	 -0.115
  0.586	 -0.195	 -0.135
  0.594	 -0.185	 -0.135
  0.602	 -0.175	 -0.115
  0.609	 -0.145	 -0.115
  0.617	 -0.155	 -0.125
  0.625	 -0.165	 -0.125
  0.633	 -0.175	 -0.115
  0.641	 -0.175	 -0.125
  0.648	 -0.155	 -0.035
  0.656	 -0.335	  0.175
  0.664	 -0.675	  0.235
  0.672	 -0.345	 -0.605
  0.680	  1.275	 -1.515
  0.688	  2.465	 -0.915
  0.695	  2.895	 -0.705
  0.703	  1.805	 -0.385
  0.711	  0.195	 -0.055
  0.719	 -0.125	  0.025
  0.727	 -0.155	  0.025
  0.734	 -0.175	  0.025
  0.742	 -0.215	  0.015
  0.750	 -0.235	  0.005
  0.758	 -0.215	  0.025
  0.766	 -0.255	  0.005
  0.773	 -0.255	  0.005
  0.781	 -0.225	  0.015
  0.789	 -0.225	  0.025
  0.797	 -0.195	  0.015
  0.805	 -0.195	  0.005
  0.812	 -0.195	  0.005
  0.820	 -0.165	  0.035
  0.828	 -0.195	  0.015
  0.836	 -0.165	  0.025
  0.844	 -0.125	  0.025
  0.852	 -0.105	  0.055
  0.859	 -0.035	  0.065
  0.867	 -0.015	  0.065
  0.875	  0.025	  0.085
  0.883	  0.085	  0.085
  0.891	  0.105	  0.085
  0.898	  0.175	  0.075
  0.906	  0.235	  0.085
  0.914	  0.275	  0.085
  0.922	  0.355	  0.115
  0.930	  0.395	  0.085
  0.938	  0.395	  0.115
  0.945	  0.405	  0.115
  0.953	  0.295	  0.085
  0.961	  0.215	  0.045
  0.969	  0.145	  0.005
  0.977	  0.045	 -0.005
  0.984	  0.015	 -0.005
  0.992	 -0.045	 -0.055
  1.000	 -0.075	 -0.055
  1.008	 -0.085	 -0.055
  1.016	 -0.135	 -0.055
  1.023	 -0.135	 -0.065
  1.031	 -0.115	 -0.055
  1.039	 -0.105	 -0.055
  1.047	 -0.085	 -0.045
  1.055	 -0.085	 -0.065
  1.062	 -0.095	 -0.065
  1.070	 -0.095	 -0.035
  1.078	 -0.115	 -0.045
  1.086	 -0.105	 -0.035
  1.094	 -0.105	 -0.035
  1.102	 -0.085	 -0.045
  1.109	 -0.065	 -0.045
  1.117	 -0.085	 -0.045
  1.125	 -0.095	 -0.045
  1.133	 -0.075	 -0.035
  1.141	 -0.105	 -0.055
  1.148	 -0.105	 -0.075
  1.156	 -0.105	 -0.055
  1.164	 -0.095	 -0.065
  1.172	 -0.085	 -0.065
  1.180	 -0.085	 -0.085
  1.188	 -0.105	 -0.095
  1.195	 -0.105	 -0.085
  1.203	 -0.115	 -0.105
  1.211	 -0.125	 -0.105
  1.219	 -0.125	 -0.105
  1.227	 -0.115	 -0.095
